,answer
66,"周末
10.00一觉睡到自然醒，然后起床洗衣服，和舍友侃大山，打游戏
中午吃完饭取到了两个快递，零食零食
下午两点开始写作业，期间无数次脑子短路卡壳
下午五点多，该死的《雷雨》评论写完了！！我要出去散散心。
周末的操场人特别少，带上耳机在操场慢慢的走，风吹到身上有些冷，但是愈发清醒了，遇到了前几天在操场晒地瓜干的大娘，帮她把地瓜干收起来，然后坐在足球场草坪上和大娘聊天，大娘真厉害，把我家底都打探完了
七点回到宿舍，等舍友昨晚运动。排队做运动，半小时。出了一身汗，舒服。
八点多洗完脸做个清洁面膜，半小时，恰好接到妈妈的电话，挂断再给妈妈回过去，亲情号给妈妈打电话不花钱，哈哈。以为妈妈想我了，然后，妈妈问我去年买的没放在家里的那件新的黑色棉服还穿不穿，不穿她要送人了(。•́︿•̀。)，送吧送吧，送了我再买！！妈妈说哥哥昨天定亲了，新嫂子挺好的，老大不小啦，二十七八了都，高兴！ 我大舅也肯定高兴，虽然他看不到了，我特别想他。
妈妈还说。我爹给她买了件衣服，好像很贵的样子，她不舍的，我说给你买你就穿！以后别那么省了，我和弟弟都大了，也不用你操心了。坏的日子都会过去的，以后也会越来越好的。
我妈又说阿姨家的甜甜也考教资来着，今年考不上明年还要考呢，她现在在一家建筑公司上班呢，我说是呀，和我一样大的都工作了呢，，我妈说你要接着读书呀，我说那可不一定，说不定我读够了就毕业相个亲结婚生孩子去了，，我妈说那可不行啊，哪能相亲啊，你自己不能找呀，我说我找不到呀，太丑啦，哈哈。
我妈说女孩子要独立啊，不能依靠男人。如果什么都靠别人的话，嫁到人家家里会被瞧不起的，，，我说你看你你闺女像那种人嘛，我还得挣钱给你买衣服呢。
最后我说妈妈你快去睡觉吧，都半小时了！妈妈说，奥那行，我去把你房间衣服收拾收拾去，喂喂喂，别都送给别人啊，你闺女我寒假还要回家呀。。。
9.40，写完这段话。一天就这样过去了，我很开心啊。是真的"
67,7:50分睁开眼睛！7:55看看枕边的手机刷新一下朋友圈、之后打开纽约时报App看看今日时政要文。8:00起床刷牙洗脸、之后泡杯热茶，做好早餐买好菜洗好衣服！9:00正式上班。然后12:00下班吃饭！1:30上班:6:30下班之后就是玩玩手机再然后睡觉！感觉我的生活好像机器一样，时间在变唯有自己一尘不变！
68,"更新于11月20日。
目标并没有完成就跑来更新了，有点悲剧。最近连续三个星期公司周末活动，每天晚上11点回宿舍。
但工作就是工作啊，不管怎样都要努力做，好吧，给自己打打气，明天继续加油。
资格考试已经考了，希望能过。
更新一下我的花花草草宝宝们。

花开的季节总喜欢摘下来插在花瓶里，带回公司，整个办公室都香香的，很喜欢大家开开心心的样子。
不系统地学习插花，开心就好。*^_^*
—————————————————————————
金融行业，七月培训，八月入职。
早上6点45分起床洗漱，7点20分穿着工作服出门，坐班车听音乐上班。喜欢《sugar》。
工作服真心毁青春哈哈，昨天考试穿了便装，同事姐姐就认不出了。
8点10分到达目的地，准备班前工作，整理着装开会之类的。
9点开始工作到中午12点，1个小时吃饭加休息，慢动作的我经常是吃完饭就去顶班了哈哈。
终于到了五点半，该下班了吗？木有，班后工作到7点半。
八点半公交回到宿舍。有时候更晚。
回到第一件事去阳台看各类花花草草。
百合、蟹爪兰、石头花、茶花、太阳花……
这星期即将迎来月季和玫瑰小伙伴。
八点半到10点，洗洗漱漱，一边泡茶一边看书(考不完的试……)。
偶尔心情好好就看看剧，昨晚看《琅琊榜》。
10点半或者11点睡觉，与周公欧巴见面。
当然有时会更晚。
好吧，工作以后原有的马甲线都消失了，于是决定应该把计划做个调整了。
一个星期连续健身，每天半个小时。
喜欢花吗？很喜欢。因为想着世界很大又感觉很危险，连花花草草都有勇气破壳而出来到这个世界，而我呢，准备好了吗？
那么就让我和你们一起慢慢长大好了。
还有的原因是希望能用自己种的花学习插花，放在工作间，很美。
我记得6月毕业时，很疼我的一个老师跟我说，你要永远记得，自己是一个读书人。
那么，我做到了吗？
而我现在的梦想，就是当某一天站在那个老师面前，很骄傲地跟她说，我没有变啊，老师。
工作后会有些力不从心，但还是要努力告诉自己，加油。记得你的梦想。
于是开始报考一些资格考试，所以生活的每一天都有考不完的试。
等完成部分目标后更新。
顺便附上今天要开花的蟹爪兰宝宝。
谢谢你，谢谢你们。"
69,"7点20 闹钟响 摁掉 想着不坐公车啦打u步 继续睡
7点50 靠床边抽一根烟缓解困意 起床刷牙洗脸梳头化妆
8点30 和很快就洗漱完铲好猫屎的王康康一起出门
8点40 到上班楼下早餐车买个肉包或者糯米鸡加一杯豆浆或者黑李子园
8点45 给我爷爷打早安电话
8点50 打完卡和同事堆在办公室换工作服袜瞎侃几句吃早饭啥的
9点20 值班的话会去商场中庭开个晨会 拿停车券
10点开始正常工作 统计统计老师课时 接待接待小孩家长（没人没老板没事做的话基本就玩手机了
12点打卡下班跟同事去负一楼买吃的或者叫外卖
13点去后边教室 拿毯子躺下睡觉觉 值班就坐前台玩手机打瞌睡
14点爬起来打卡上班办公室补妆
18点下班坐公交车回去 值班的话20点30才能下班了
18点30 给爷爷打晚饭电话
晚饭的话 到家点外卖或者和王康康在楼下买点吃的 （昨天王康康放假终于家里又开火做饭啦今天还带了饭好吃幸福
吃完饭躺一会洗澡隔一天洗头吹半干躺被窝玩手机
有时候打扫卫生有时候带猫打架有时候和王康康打架有时候去楼下网吧游戏
22点 给爷爷打晚安电话 然后看看视频 一天最幸福的时刻啦
24点就开始找困意了求抱抱然后睡觉觉 基本夜里一两点睡着差不多
日常一天就这样过完啦(°ー°〃)"
70,"5:26起床，洗漱，跑步
6:10-7:10分早读
然后再用15分钟填饱肚子，剩下15分钟回去背早读没背下来的东西，当然这只是理想而已，现实是：背到一半就睡着了！
就睡着了！
睡着了！

每天真的是困的不要不要的，但谁又不是这样过来的呢？

上课基本上是上什么课，被什么题虐的死去活来
上午盼中午午午休，下午盼晚饭
然后到21:45又去跑步
回宿舍再刷牙洗脸洗澡澡(///▽///)
一天就这么过去了
如果不出意外的话会一直这样过一个月（除了有几天下午我们有一节活动课，但基本上都是用来洗澡刷题的，所以可以忽略不计。）


刚开始还会抱怨，现在基本上回到宿舍连话都来不及说洗漱没弄完就已经熄灯了，滩在床上直接就睡，根本没力气多说一句话


毕竟高中都是这样过来的，难道不是吗？"
71,"每天9点起床，自己吃早饭，吃早饭的时候想着等下要写雅思了，结果吃完就又回到床上玩手机，玩手机又想，玩一会，上午前写两篇听力好了。 然后就中午了，吃完午饭就犯困，先睡一会吧。 一睡起来3点了，好不容易坐在了板凳上，心想刷刷朋友圈吧，看看国庆大家都去哪了，结果刷完朋友圈，又刷说说，然后微博，终于看完了这些东西。拿起笔写了几个字，出去上个厕所，接杯水，吃点小零食，一下午一篇都没写完就吃晚饭了！！！！

晚上了，拿出手机，拿出瓜子，看running man ，一集1个小时半，然后看看美拍，一刷停不下来，再看看直播，然后然后9点半了，洗了个澡10点了，躺在床上反思我他吗今天一天干了啥？
心里想着我明天一定早起！一定写完一套雅思，！
然后第二天
又他妈9点了！
还有18天考雅思了，国庆已经废了，我该怎么办？

还有18天还有"
72,"机械系的早上6.30起床坐在床上冥想
7.00吃早饭之后有课就上课没课会一个人看书，或者出门看风景。
11.00-12.00吃午饭，吃了以后消化一下
13.00午睡到14.00
一般每天下午都是有课的就上课
18.00-19.00之间吃晚饭
19.00-20.00图书馆走起，或者去看帅哥就是单纯的窝在一个角落看走来走去的人
20.30-21.30夜跑
之后就是休息洗衣服收拾自己
知乎小透明，只是粗略的大概的时间！"
73,睡觉，睡觉，吃饭，睡觉，健身房，睡觉，吃饭，睡觉
74,"大学日常一
3月28日 天气一如既往的晴朗。
被不知道那天设置的闹铃吵醒，摸索了半天在俩床的夹缝中找到 ️（前几天东子给了我一个手机扣。卡住了）看了一眼闹钟，快八点了？今天早上貌似没什么课吧。于是乎关了闹钟继续睡。迷糊中听见阿珍（男的）说八点有高数？爱特码有啥课。反正现在连眼睛都睁不开。翻个身继续睡。梦中我梦到了李云龙。可能是最近看亮剑看多了吧。。。正当我以为要投身与革命的战斗中的时候。大门被阿珍一个大脚踹来，嘴里一如既往的巴拉巴拉的说着前言不搭后语的话。我真想操起拖鞋给他抡过去。可我我够不着，是时候起床了，坐起来瞟了一眼。嗯。还有三个做着香甜的。看来阿珍制造的噪音只是吵醒了我。像往常一样拿着脸盆到一楼（我在三楼，因为只有一楼有热水）洗漱完毕。看了看前天刚理过的不知名的发型，我叹了一口气。并且在心里默默下了决心。再去那家理发店我就是猪。回到宿舍。点起了烟。放起了小曲儿。那三个陆陆续续醒了过来。老二：给我来杯水。老八：给我也来一杯。东子：烟呢，烟呢？
我：吃饭去？去哪儿吃？老二：要不出去吧？我：出去？还有几块钱心里没点比数吗？赶紧给劳资起来去食堂。我特码快饿死了~


注明 我们宿舍八人间，总体很温馨。但我们四个（老二，老八，东子）更铁。穿一条裤子的那种。基本月底都是靠着饭卡的补助度过。。。。
答主是大一新生。葡萄酒酿造工程专业，对就是这么奇葩。以至于我现在都不知道我在学什么，与葡萄酒有关的除了去过实验室抓碎了几大箩筐葡萄以外。貌似还没有什么于之有关的东西。
第一次写。主要是想把生活的片段记录下来。也打发无聊的时间。一更有点少。因为实在没什么可写的。以后应该会有加长。觉得有点意思谢谢大家的支持。觉得无聊的您就当个屁忽略了吧。"
75,吃吃吃吃吃吃逛逛逛淘宝开心的逛淘宝纠结的逛淘宝痛苦的逛淘宝吃吃吃打游戏抽时间打游戏挤时间打游戏逛淘宝逛逛逛逛睡睡睡睡睡睡
76,"起床:6：00 （有早自习）-6:50（无早自习）
晨跑30分钟
早饭：喝一杯水，一个鸡蛋，百合莲子红豆粥或者黑米粥。
上班7:40_8:00：一周一般是正课12节，每天平均2-3节课
上班期间跟办公室俩领导吹牛，嗑瓜子，备课，讨论，看看书，新闻等等
下班17:10 都是提前30分钟走人，有事就做，无事走人，哈哈
晚上有时候去学生女宿舍遛遛
晚上不吃晚饭，夜跑一小时
洗澡洗头，面膜泡脚，每晚必须做的
练习尤克里里
然后看看书，做读书笔记
有时候做瑜伽，画画，最近在学国画，毛笔字学了四天，放弃了
作为毕业班老师，精神高度紧张，特别是考试前后，学校给我的目标不高，但是我的目标不低，中考成绩从全市中等水平到前十，而我的个人目标不仅仅是在体制里混吃等死，我的目标是名师，高级教师，我的目标是进私立而不是体制待到老，总有一天会出体制，所以每天看固定的专业书，标准备课，写教育叙事，大量研究真题，教法。累的时候躺床上就睡，也就没空做其他的。"
